naim;curAmount;curs
Австралийский доллар;1 AUD;1,8193
Армянский драм;1000 AMD;5,4894
Болгарский лев;1 BGN;1,4013
Гривна;100 UAH;8,5769
Датская крона;10 DKK;3,6848
Доллар США;1 USD;2,5945
Евро;1 EUR;2,7442
Злотый;10 PLN;5,8649
Иена;100 JPY;1,9997
Иранский риал;100000 IRR;6,1774
Исландская крона;100 ISK;1,9675
Канадский доллар;1 CAD;2,0015
Китайский юань;10 CNY;3,8593
Кувейтский динар;1 KWD;8,4578
Молдавский лей;10 MDL;1,3726
Новозеландский доллар;1 NZD;1,6470
Норвежская крона;10 NOK;2,6908
Российский рубль;100 RUB;3,7479
СДР (Специальные права заимствования);1 XDR;3,4739
Сингапурcкий доллар;1 SGD;1,8728
Сом;100 KGS;3,1582
Тенге;1000 KZT;5,8719
Турецкая лира;10 TRY;1,6940
Фунт стерлингов;1 GBP;3,2108
Чешская крона;100 CZK;10,8289
Шведская крона;10 SEK;2,6024
Швейцарский франк;1 CHF;2,6256
